original_filename,new_kebab_case_name,description_1_to_3_words,category
image1.png,twitter-red-bg,Twitter logo,Communication
image2.png,twitter-red-bg-2,Twitter logo,Communication
image4.png,linkedin-dark-bg,LinkedIn logo,Communication
image5.png,youtube-dark-bg,YouTube logo,Communication
image6.png,linkedin-red-bg,LinkedIn logo,Communication
image7.png,facebook-dark-bg,Facebook logo,Communication
image8.png,twitter-dark-bg,Twitter logo,Communication
image9.png,youtube-red-bg,YouTube logo,Communication
image11.png,linkedin-dark-bg-2,LinkedIn logo,Communication
image13.png,facebook-red-bg,Facebook logo,Communication
image14.png,facebook-red-bg-2,Facebook logo,Communication
image15.png,youtube-dark-bg-2,YouTube logo,Communication
image41.png,sun-red,Sun brightness,Miscellaneous
image43.png,question-circle-red,Question mark,Miscellaneous
image45.png,square-dots-red,Square with dots,Miscellaneous
image46.png,square-dots-black,Square with dots,Miscellaneous
image47.png,sun-black,Sun brightness,Miscellaneous
image49.png,question-circle-black,Question mark,Miscellaneous
image51.png,question-circle-black-2,Question mark,Miscellaneous
image52.png,expand-arrows-black,Expand resize,Arrows & Navigation
image54.png,expand-arrows-red,Expand resize,Arrows & Navigation
image57.png,blank-placeholder,Blank placeholder,Miscellaneous
image59.png,expand-arrows-black-2,Expand resize,Arrows & Navigation
image60.png,expand-arrows-black-3,Expand resize,Arrows & Navigation
image61.png,expand-arrows-red-2,Expand resize,Arrows & Navigation
image62.png,expand-selected,Expand selected,Arrows & Navigation
image63.png,ticket-barcode,Ticket barcode,Miscellaneous
image64.png,close-circle-red,Close button,Arrows & Navigation
image66.png,mobile-device,Mobile phone,Infrastructure
image67.png,desktop-mouse,Desktop with mouse,Infrastructure
image68.png,keyboard,Keyboard input,Infrastructure
image69.png,checkmark-green,Checkmark success,Miscellaneous
image70.png,laptop-video,Laptop webcam,Infrastructure
image71.png,server-list,Server list,Infrastructure
image72.png,server-compact,Server unit,Infrastructure
image73.png,keyboard-red,Keyboard input,Infrastructure
image75.png,desktop-security,Desktop shield,Security
image77.png,mobile-desktop,Mobile and desktop,Infrastructure
image78.png,monitor-display,Monitor display,Infrastructure
image80.png,monitor-bars,Monitor with bars,Infrastructure
